Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD)
C-36995,Frederica Shealy,F,56,1933.05,1.0,Working,Sales staff,Semi-Urban,72809.58,241.08,N,N,3.0,809.44,0,Rural,746,1933.05,4,Rural,1,119933.46,54607.18
C-23855,Nathalie Olivier,M,43,2361.56,1.0,Working,Laborers,Semi-Urban,152561.34,697.67,Y,Y,2.0,637.29,0,Semi-Urban,227,2361.56,1,Semi-Urban,1,221050.8,0.0
C-24944,Barbie Goetsch,M,18,1546.17,1.0,Working,Laborers,Rural,42091.29,500.2,N,N,2.0,613.24,0,Urban,883,1546.17,2,Urban,1,67993.43,0.0
C-40801,Laree Staton,M,18,2416.86,1.0,State servant,Core staff,Semi-Urban,25765.72,140.02,N,Y,1.0,652.41,0,Rural,325,2416.86,2,Rural,1,32423.71,16747.72
C-37677,Xenia Browder,F,39,2719.74,1.0,Commercial associate,High skill tech staff,Semi-Urban,20879.96,93.99,Y,N,2.0,646.21,0,Rural,196,2719.74,2,Rural,0,33568.47,0.0
C-30073,Brinda Vaz,F,48,777.25,1.0,Working,Laborers,Semi-Urban,96080.6,342.33,N,N,3.0,764.11,0,Semi-Urban,678,777.25,1,Semi-Urban,1,146073.26,67256.42
C-34993,Brendon Swanson,F,43,997.25,1.0,Working,Laborers,Rural,48894.06,178.06,Y,N,1.0,726.28,0,Rural,578,997.25,4,Rural,1,80607.4,34225.84
C-35991,Gricelda Lamphere,M,61,1664.52,1.0,Working,Core staff,Semi-Urban,72448.95,398.88,N,Y,2.0,781.51,0,Urban,500,1664.52,4,Urban,1,113464.01,54336.71
C-45549,Elidia Mccluney,F,61,2077.42,1.0,Working,Realty agents,Semi-Urban,70815.01,417.01,N,N,1.0,779.55,0,Rural,395,2077.42,4,Rural,1,102502.2,0.0
C-7540,Gina Mattison,M,64,2346.88,1.0,Working,Sales staff,Rural,89489.99,327.14,N,Y,1.0,803.04,0,Rural,68,2346.88,4,Rural,1,148424.56,67117.49
C-20654,Dian Myles,F,41,1837.17,1.0,Working,Security staff,Rural,112910.57,422.61,Y,N,2.253141046651371,722.74,0,Urban,499,1837.17,4,Urban,1,128407.6,73391.87
C-49922,Loriann Ericksen,F,32,1537.82,1.0,Working,Laborers,Rural,93103.63,351.54,Y,Y,3.0,671.65,0,Urban,413,1537.82,2,Urban,0,116861.82,0.0
C-34215,Yuri Kellen,F,19,2889.94,1.0,Working,Sales staff,Rural,57810.08,264.92,N,Y,2.0,787.74,0,Semi-Urban,908,2889.94,3,Semi-Urban,1,80756.7,40467.06
C-11549,Mellissa Dupler,F,44,1266.06,1.0,Working,Laborers,Semi-Urban,12402.54,136.65,N,Y,3.0,804.2,0,Semi-Urban,89,1266.06,4,Semi-Urban,1,21913.58,-999.0
C-45470,Yolonda Kranz,F,55,2497.4,1.0,Working,Laborers,Semi-Urban,115851.35,479.87,N,Y,2.0,712.05,0,Semi-Urban,694,2497.4,1,Semi-Urban,0,151126.46,0.0
C-13848,Lin Britto,F,32,2478.54,1.0,Working,Accountants,Semi-Urban,30195.97,225.64,N,Y,1.0,739.8891493203059,0,Rural,581,2478.54,2,Rural,1,45299.77,24156.78
C-14489,Stephane Arnott,F,18,2223.085,1.0,Working,Laborers,Semi-Urban,85927.28,217.19,N,N,2.253141046651371,688.21,0,Rural,854,2223.81,2,Rural,1,160151.78,60149.1
C-15497,Roslyn Yetter,F,18,1220.16,1.0,Working,Laborers,Semi-Urban,35595.86,153.25,N,N,3.0,706.08,0,Semi-Urban,681,1220.16,4,Semi-Urban,1,41948.44,24917.1
C-43780,Samantha Hullinger,M,18,1671.02,1.0,State servant,Core staff,Semi-Urban,91850.54,438.64,N,Y,2.0,834.62,0,Rural,164,1671.02,1,Rural,1,144087.09,0.0
C-42461,Torri Jeffreys,F,49,1974.82,1.0,Working,Drivers,Semi-Urban,43299.94,264.58,N,Y,2.0,651.45,0,Rural,157,1974.82,2,Rural,1,58269.09,0.0
C-39141,Bert Dinkins,F,18,2368.34,1.0,Working,Laborers,Semi-Urban,18386.57,219.7,N,Y,2.0,672.32,0,Semi-Urban,245,2368.34,3,Semi-Urban,1,27966.91,11951.27
C-21133,Beatriz Lamantia,M,28,2067.66,1.0,Working,Drivers,Semi-Urban,39290.22,193.27,N,Y,3.0,630.73,0,Semi-Urban,740,2067.66,2,Semi-Urban,1,70132.42,0.0
C-37811,Nicki Villela,M,37,2680.38,1.0,Commercial associate,Laborers,Semi-Urban,85145.49,618.52,N,Y,1.0,855.18,0,Rural,217,2680.38,2,Rural,1,104278.0,68116.39
C-47362,Elke Vitolo,F,27,1960.17,1.0,Working,Managers,Semi-Urban,123034.46,684.16,N,N,3.0,715.43,0,Rural,270,1960.17,2,Rural,0,169416.28,0.0
C-21608,Danica Villacorta,M,54,1871.92,1.0,Working,Accountants,Semi-Urban,55863.31,318.76,N,Y,2.253141046651371,797.47,0,Semi-Urban,279,1871.92,4,Semi-Urban,1,102110.07,44690.65
C-33417,Mara Acey,F,44,1761.15,1.0,Working,Cooking staff,Semi-Urban,75574.36,355.11,N,N,1.0,755.48,0,Rural,563,1761.15,2,Rural,1,84102.27,56680.77
C-1539,Brandon Mcgowan,M,64,2478.3,1.0,Working,Core staff,Semi-Urban,171270.39,560.47,N,N,3.0,733.67,0,Urban,530,2478.3,1,Urban,1,300043.91,111325.75
C-30592,Rebecka Calton,F,62,1282.74,1.0,Working,Laborers,Semi-Urban,71476.86,334.91,N,N,4.0,775.55,0,Urban,852,1282.74,1,Urban,1,85170.57,57181.49
C-28970,Enola Shoultz,F,39,1822.63,1.0,Working,Security staff,Semi-Urban,47012.15,238.11,N,Y,1.0,757.22,0,Rural,400,1822.63,1,Rural,1,84534.32,35259.11
C-24948,Tyesha Leclerc,M,61,3104.0,1.0,Working,High skill tech staff,Semi-Urban,159180.09,669.51,N,Y,2.0,842.99,0,Rural,415,3104.0,4,Rural,1,278885.16,119385.07
