Customer ID,Name,Gender,Age,Income (USD),Income Stability,Profession,Type of Employment,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Expense Type 1,Expense Type 2,Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Property ID,Property Age,Property Type,Property Location,Co-Applicant,Property Price,Loan Sanction Amount (USD),Loan_Approved
C-36995,Frederica Shealy,F,56,1933.05,Low,Working,Sales staff,Semi-Urban,72809.58,241.08,N,N,3.0,809.44,0,Active,746,1933.05,4,Rural,1,119933.46,54607.18,1
C-3770,Rosetta Verne,F,65,988.19,High,Pensioner,Laborers,Semi-Urban,45593.04,171.95,N,Y,1.0,833.15,0,Unpossessed,546,988.19,2,Urban,0,72440.58,36474.43,1
C-26480,Zoe Chitty,F,65,2222.435,High,Pensioner,Laborers,Rural,80057.92,298.54,N,Y,2.0,832.7,1,Unpossessed,890,2223.25,2,Semi-Urban,1,121441.51,56040.54,1
C-23459,Afton Venema,F,31,2614.77,Low,Working,High skill tech staff,Semi-Urban,113858.89,491.41,N,Y,2.0,745.55,1,Active,715,2614.77,4,Semi-Urban,1,208567.91,74008.28,1
C-17688,Polly Crumpler,F,60,1234.92,Low,State servant,Secretaries,Rural,34434.72,181.48,N,N,2.0,684.12,1,Inactive,491,1234.92,2,Rural,1,43146.82,22382.57,1
C-23855,Nathalie Olivier,M,43,2361.56,Low,Working,Laborers,Semi-Urban,152561.34,697.67,Y,Y,2.0,637.29,0,Unpossessed,227,2361.56,1,Semi-Urban,1,221050.8,0.0,0
C-26934,Kenny Ankrom,F,38,1296.07,Low,Working,Cooking staff,Rural,35141.99,155.95,N,Y,3.0,705.29,1,Active,241,1296.07,4,Rural,1,54903.44,22842.29,1
C-24944,Barbie Goetsch,M,18,1546.17,Low,Working,Laborers,Rural,42091.29,500.2,N,N,2.0,613.24,0,Unpossessed,883,1546.17,2,Urban,1,67993.43,0.0,0
C-40801,Laree Staton,M,18,2416.86,Low,State servant,Core staff,Semi-Urban,25765.72,140.02,N,Y,1.0,652.41,0,Active,325,2416.86,2,Rural,1,32423.71,16747.72,1
C-37677,Xenia Browder,F,39,2719.74,Low,Commercial associate,High skill tech staff,Semi-Urban,20879.96,93.99,Y,N,2.0,646.21,0,Active,196,2719.74,2,Rural,0,33568.47,0.0,0
C-30073,Brinda Vaz,F,48,777.25,Low,Working,Laborers,Semi-Urban,96080.6,342.33,N,N,3.0,764.11,0,Active,678,777.25,1,Semi-Urban,1,146073.26,67256.42,1
C-34993,Brendon Swanson,F,43,997.25,Low,Working,Laborers,Rural,48894.06,178.06,Y,N,1.0,726.28,0,Active,578,997.25,4,Rural,1,80607.4,34225.84,1
C-35991,Gricelda Lamphere,M,61,1664.52,Low,Working,Core staff,Semi-Urban,72448.95,398.88,N,Y,2.0,781.51,0,Active,500,1664.52,4,Urban,1,113464.01,54336.71,1
C-45549,Elidia Mccluney,F,61,2077.42,Low,Working,Realty agents,Semi-Urban,70815.01,417.01,N,N,1.0,779.55,0,Inactive,395,2077.42,4,Rural,1,102502.2,0.0,0
C-7540,Gina Mattison,M,64,2346.88,Low,Working,Sales staff,Rural,89489.99,327.14,N,Y,1.0,803.04,0,Active,68,2346.88,4,Rural,1,148424.56,67117.49,1
C-11119,Sachiko Sheilds,M,65,1523.03,High,Pensioner,Laborers,Semi-Urban,66567.35,299.53,Y,Y,3.0,862.33,0,Unpossessed,739,1523.03,4,Semi-Urban,0,118617.77,46597.14,1
C-20654,Dian Myles,F,41,1837.17,Low,Working,Security staff,Rural,112910.57,422.61,Y,N,2.0,722.74,0,Inactive,499,1837.17,4,Urban,1,128407.6,73391.87,1
C-49922,Loriann Ericksen,F,32,1537.82,Low,Working,Laborers,Rural,93103.63,351.54,Y,Y,3.0,671.65,0,Inactive,413,1537.82,2,Urban,0,116861.82,0.0,0
C-34215,Yuri Kellen,F,19,2889.94,Low,Working,Sales staff,Rural,57810.08,264.92,N,Y,2.0,787.74,0,Inactive,908,2889.94,3,Semi-Urban,1,80756.7,40467.06,1
C-35716,Blossom Lentine,F,24,2538.85,Low,Working,Laborers,Rural,120525.64,552.77,Y,Y,3.0,721.27,1,Inactive,640,2538.85,1,Rural,1,170642.55,84367.95,1
C-45470,Yolonda Kranz,F,55,2497.4,Low,Working,Laborers,Semi-Urban,115851.35,479.87,N,Y,2.0,712.05,0,Unpossessed,694,2497.4,1,Semi-Urban,0,151126.46,0.0,0
C-30663,Sonny Smock,F,63,700.07,High,Pensioner,Laborers,Semi-Urban,38101.51,240.38,N,Y,2.0,860.88,0,Unpossessed,566,700.07,4,Urban,1,47390.38,28576.13,1
C-13848,Lin Britto,F,32,2478.54,Low,Working,Accountants,Semi-Urban,30195.97,225.64,N,Y,1.0,739.82,0,Active,581,2478.54,2,Rural,1,45299.77,24156.78,1
C-14489,Stephane Arnott,F,18,2222.435,Low,Working,Laborers,Semi-Urban,85927.28,217.19,N,N,2.0,688.21,0,Active,854,2223.25,2,Rural,1,160151.78,60149.1,1
C-29424,Sade Emery,F,28,2474.33,Low,Working,Laborers,Semi-Urban,17503.0,144.82,N,Y,3.0,855.97,1,Unpossessed,147,2474.33,2,Rural,1,32580.57,14002.4,1
C-15497,Roslyn Yetter,F,18,1220.16,Low,Working,Laborers,Semi-Urban,35595.86,153.25,N,N,3.0,706.08,0,Unpossessed,681,1220.16,4,Semi-Urban,1,41948.44,24917.1,1
C-43780,Samantha Hullinger,M,18,1671.02,Low,State servant,Core staff,Semi-Urban,91850.54,438.64,N,Y,2.0,834.62,0,Active,164,1671.02,1,Rural,1,144087.09,0.0,0
C-42461,Torri Jeffreys,F,49,1974.82,Low,Working,Drivers,Semi-Urban,43299.94,264.58,N,Y,2.0,651.45,0,Inactive,157,1974.82,2,Rural,1,58269.09,0.0,0
C-39141,Bert Dinkins,F,18,2368.34,Low,Working,Laborers,Semi-Urban,18386.57,219.7,N,Y,2.0,672.32,0,Unpossessed,245,2368.34,3,Semi-Urban,1,27966.91,11951.27,1
C-21133,Beatriz Lamantia,M,28,2067.66,Low,Working,Drivers,Semi-Urban,39290.22,193.27,N,Y,3.0,630.73,0,Active,740,2067.66,2,Semi-Urban,1,70132.42,0.0,0
C-37811,Nicki Villela,M,37,2680.38,Low,Commercial associate,Laborers,Semi-Urban,85145.49,618.52,N,Y,1.0,855.18,0,Inactive,217,2680.38,2,Rural,1,104278.0,68116.39,1
C-23075,Brendan Lopez,M,51,3384.91,Low,Working,Laborers,Semi-Urban,40679.95,340.44,N,Y,2.0,799.57,1,Active,421,3384.91,4,Semi-Urban,1,54618.45,32543.96,1
C-28305,Benny Pelosi,F,18,1694.53,Low,Commercial associate,Core staff,Rural,41837.3,286.68,Y,N,3.0,747.21,1,Inactive,458,1694.53,1,Urban,1,75416.35,27194.25,1
C-47362,Elke Vitolo,F,27,1960.17,Low,Working,Managers,Semi-Urban,123034.46,684.16,N,N,3.0,715.43,0,Inactive,270,1960.17,2,Rural,0,169416.28,0.0,0
C-21608,Danica Villacorta,M,54,1871.92,Low,Working,Accountants,Semi-Urban,55863.31,318.76,N,Y,2.0,797.47,0,Active,279,1871.92,4,Semi-Urban,1,102110.07,44690.65,1
C-33417,Mara Acey,F,44,1761.15,Low,Working,Cooking staff,Semi-Urban,75574.36,355.11,N,N,1.0,755.48,0,Inactive,563,1761.15,2,Rural,1,84102.27,56680.77,1
C-16602,Dorotha Kilgore,M,59,2222.435,Low,Commercial associate,Laborers,Semi-Urban,155502.39,502.13,N,N,2.0,855.39,1,Unpossessed,956,2223.25,2,Semi-Urban,1,228079.45,116626.79,1
C-30592,Rebecka Calton,F,62,1282.74,Low,Working,Laborers,Semi-Urban,71476.86,334.91,N,N,4.0,775.55,0,Active,852,1282.74,1,Urban,1,85170.57,57181.49,1
C-28970,Enola Shoultz,F,39,1822.63,Low,Working,Security staff,Semi-Urban,47012.15,238.11,N,Y,1.0,757.22,0,Unpossessed,400,1822.63,1,Rural,1,84534.32,35259.11,1
C-24948,Tyesha Leclerc,M,61,3104.0,Low,Working,High skill tech staff,Semi-Urban,159180.09,669.51,N,Y,2.0,842.99,0,Inactive,415,3104.0,4,Rural,1,278885.16,119385.07,1
C-48528,Polly Normand,M,21,1984.32,Low,Working,Drivers,Semi-Urban,90857.67,479.49,Y,Y,2.0,775.57,0,Inactive,161,1984.32,2,Semi-Urban,1,119869.89,0.0,0
C-22574,Yee Dorner,F,55,2222.435,Low,Commercial associate,Sales staff,Semi-Urban,46240.13,226.65,N,Y,1.0,644.64,0,Inactive,816,2223.25,3,Semi-Urban,1,63760.17,0.0,0
C-46043,Necole Schimke,M,18,3031.97,Low,Working,Managers,Semi-Urban,33085.85,336.9,N,Y,2.0,833.33,0,Active,250,3031.97,4,Semi-Urban,0,37567.92,0.0,0
